Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Phagosome	26/152	1.151481e-08	3.258692e-06	0	0	4.245411e+00	7.760454e+01	SCARB1;COLEC11;TUBAL3;ITGB2;THBS2;CTSS;C3;ATP6V0A4;CD36;NOS1;ATP6V1G3;ATP6V0E2;HLA-DQA1;ATP6V1C2;MSR1;HLA-DRB4;TAP1;HLA-F;HLA-G;TUBB2B;HLA-DPB1;ITGA5;PLA2R1;ATP6V0D2;ATP6V1B1;HLA-DQB1
KEGG_2019_Human	Cell adhesion molecules (CAMs)	24/145	8.010019e-08	1.133418e-05	0	0	4.073000e+00	6.655277e+01	NTNG1;HLA-DRB4;ITGA4;ITGB2;NRXN3;VTCN1;HLA-F;HLA-G;IGSF11;CLDN10;CDH4;VCAN;CDH3;PTPRC;CD8A;CLDN8;CNTN1;CLDN19;PECAM1;HLA-DPB1;CLDN16;ICOS;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	PPAR signaling pathway	16/74	2.810085e-07	2.077568e-05	0	0	5.634705e+00	8.499886e+01	GK;MMP1;CYP4A11;APOC3;CYP8B1;FABP1;ACOX2;FABP6;PLIN2;CD36;ANGPTL4;ACAA1;PCK1;SLC27A2;ACSBG2;PCK2
KEGG_2019_Human	Arginine and proline metabolism	13/49	2.936492e-07	2.077568e-05	0	0	7.360784e+00	1.107127e+02	ARG2;OAT;SAT2;HOGA1;PRODH2;CNDP1;AGMAT;ALDH4A1;GATM;DAO;ALDH1B1;P4HA3;NOS1
KEGG_2019_Human	Complement and coagulation cascades	16/79	7.216222e-07	4.084381e-05	0	0	5.186141e+00	7.334118e+01	C1QB;C1QA;CR2;VWF;SERPINC1;SERPINE1;ITGB2;F11;PLG;KNG1;SERPINA5;C3;PROCR;PROC;C7;C1QC
KEGG_2019_Human	Protein digestion and absorption	17/90	9.240218e-07	4.358303e-05	0	0	4.758055e+00	6.611094e+01	CPA3;SLC6A19;COL15A1;MME;KCNE3;SLC16A10;COL1A1;SLC7A7;COL1A2;SLC7A8;SLC7A9;COL4A1;XPNPEP2;COL5A3;COL5A2;COL4A6;COL21A1
KEGG_2019_Human	Glycine, serine and threonine metabolism	11/40	1.635091e-06	6.610439e-05	0	0	7.718053e+00	1.028339e+02	GATM;BHMT;DAO;GLDC;AGXT2;PSAT1;GLYCTK;CTH;CHDH;PIPOX;AGXT
KEGG_2019_Human	PI3K-Akt signaling pathway	38/354	2.251674e-06	7.965298e-05	0	0	2.481612e+00	3.227048e+01	FLT1;LAMA4;TGFA;FGF1;THBS2;AREG;EGFR;GNGT1;CCND2;CCND1;FGF9;IBSP;ERBB4;PDGFD;KDR;PCK1;PCK2;PDGFRB;NGFR;PDGFRA;G6PC;ANGPT2;ITGA4;VWF;BDNF;EGF;PRLR;VEGFA;COL1A1;COL1A2;LPAR5;COL4A1;DDIT4;IL3RA;IL2RB;COL4A6;ITGA5;FGF10
KEGG_2019_Human	Glycolysis / Gluconeogenesis	14/68	2.884974e-06	9.071641e-05	0	0	5.285328e+00	6.741962e+01	G6PC;ADH1C;PKLR;ADH1B;ENO2;ADH6;ALDH1B1;ALDOC;GALM;ALDOB;PCK1;FBP1;PFKP;PCK2
KEGG_2019_Human	Rheumatoid arthritis	15/91	2.242398e-05	6.216011e-04	0	0	4.023263e+00	4.307056e+01	FLT1;HLA-DRB4;MMP1;ITGB2;VEGFA;CCL5;HLA-DPB1;ATP6V0A4;ATP6V1G3;ATP6V0E2;ATP6V0D2;HLA-DQA1;HLA-DQB1;ATP6V1B1;ATP6V1C2
KEGG_2019_Human	Collecting duct acid secretion	8/27	2.416117e-05	6.216011e-04	0	0	8.544496e+00	9.083451e+01	CLCNKB;SLC4A1;ATP6V0A4;ATP6V1G3;ATP6V0E2;ATP6V0D2;ATP6V1C2;ATP6V1B1
KEGG_2019_Human	Fatty acid degradation	10/44	3.054950e-05	7.204591e-04	0	0	5.976621e+00	6.213393e+01	ECHS1;ADH1C;ALDH1B1;ADH1B;CYP4A11;HADH;ACAA1;ACADSB;ACSBG2;ADH6
KEGG_2019_Human	Glyoxylate and dicarboxylate metabolism	8/30	5.613498e-05	1.222015e-03	0	0	7.378174e+00	7.221573e+01	GLDC;GLYCTK;PCCB;HAO1;ACO1;HOGA1;AGXT;HAO2
KEGG_2019_Human	Valine, leucine and isoleucine degradation	10/48	6.782770e-05	1.301748e-03	0	0	5.346379e+00	5.131743e+01	ALDH6A1;ECHS1;ALDH1B1;AGXT2;PCCB;AOX1;ABAT;HADH;ACAA1;ACADSB
